floor_category,yearmon,sales_date,flat_lease_status,floor,project_name,area_sqft,unit_price_psf,type_of_sale,property_type,completion_status,postal_district,planning_region,planning_area
"11-20 floor",201901,2019-01-01,Non-Freehold,11,"PARC ESTA",700,1722,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-01,Freehold,3,"THE ADDITION",950,1739,"New Sale","Non-landed Properties",Uncompleted,13,"Central Region","Toa Payoh"
NULL,201901,2019-01-01,Freehold,NULL,"BELGRAVIA GREEN",3150,863,"New Sale","Terrace House",Uncompleted,28,"North East Region",Serangoon
"1-10 floor",201901,2019-01-01,Non-Freehold,3,"PARC ESTA",550,1763,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-02,Non-Freehold,8,"PARC ESTA",500,1808,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-02,Non-Freehold,3,"PARC ROSEWOOD",600,1095,Resale,"Executive Condominium",Completed,25,"North Region",Woodlands
NULL,201901,2019-01-02,Non-Freehold,NULL,"SERANGOON GARDEN ESTATE",2650,1343,Resale,"Terrace House",Completed,19,"North East Region",Serangoon
"1-10 floor",201901,2019-01-02,Non-Freehold,1,"MAYFAIR GARDENS",700,2087,"New Sale","Executive Condominium",Uncompleted,21,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-02,Freehold,3,"THE NAVIAN",900,1667,"New Sale","Non-landed Properties",Uncompleted,14,"East Region",Bedok
"1-10 floor",201901,2019-01-02,Non-Freehold,7,"PARC ESTA",450,1783,"New Sale","Non-landed Properties",Uncompleted,14,"Central Region",Geylang
"1-10 floor",201901,2019-01-02,Non-Freehold,5,"THE HILLFORD",400,1205,Resale,"Non-landed Properties",Completed,21,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-02,Freehold,11,"THE MARBELLA",1100,1658,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-02,Non-Freehold,5,"LE QUEST",1150,1351,"New Sale","Non-landed Properties",Uncompleted,23,"West Region","Bukit Batok"
NULL,201901,2019-01-02,Freehold,NULL,"HAPPY ESTATE",7400,946,Resale,"Semi-Detached House",Completed,20,"North East Region","Ang Mo Kio"
"1-10 floor",201901,2019-01-02,Non-Freehold,4,"HEDGES PARK CONDOMINIUM",500,1125,Resale,"Executive Condominium",Completed,17,"East Region","Pasir Ris"
"1-10 floor",201901,2019-01-02,Freehold,3,"THE SEAWIND",900,1757,Resale,"Executive Condominium",Completed,15,"East Region",Bedok
"11-20 floor",201901,2019-01-02,Freehold,11,"NOVA 88",1250,1323,Resale,"Non-landed Properties",Completed,12,"Central Region",Novena
"1-10 floor",201901,2019-01-02,Non-Freehold,3,"DOVER PARKVIEW",950,1063,Resale,"Executive Condominium",Completed,5,"Central Region",Queenstown
"1-10 floor",201901,2019-01-02,Non-Freehold,9,"DUO RESIDENCES",1000,2026,"Sub Sale","Non-landed Properties",Completed,7,"Central Region","Downtown Core"
"31 - 50 floor",201901,2019-01-02,Non-Freehold,36,ICON,1250,1682,Resale,"Non-landed Properties",Completed,2,"Central Region","Downtown Core"
"21 - 30 floor",201901,2019-01-02,Non-Freehold,25,"CLOVER BY THE PARK",1750,1235,Resale,"Executive Condominium",Completed,20,"Central Region",Bishan
"1-10 floor",201901,2019-01-02,Non-Freehold,6,"RIVERSOUND RESIDENCE",1200,1001,Resale,"Executive Condominium",Completed,19,"North East Region",Sengkang
"1-10 floor",201901,2019-01-02,Non-Freehold,4,"THE TRE VER",500,1524,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
NULL,201901,2019-01-02,Freehold,NULL,"DYNASTY GARDEN",1150,1314,Resale,"Executive Condominium",Completed,10,"Central Region","Bukit Timah"
"11-20 floor",201901,2019-01-02,Non-Freehold,16,QUINTERRA,1800,1416,Resale,"Non-landed Properties",Completed,10,"Central Region","Bukit Timah"
"1-10 floor",201901,2019-01-02,Non-Freehold,2,"KENT RIDGE HILL RESIDENCES",450,1731,"New Sale","Non-landed Properties",Uncompleted,5,"Central Region",Queenstown
NULL,201901,2019-01-02,Freehold,NULL,"OPERA ESTATE",3000,1620,Resale,"Detached House",Completed,15,"East Region",Bedok
"21 - 30 floor",201901,2019-01-02,Freehold,22,"GRAMERCY PARK",2600,3007,Resale,"Executive Condominium",Completed,10,"Central Region",Tanglin
"11-20 floor",201901,2019-01-02,Non-Freehold,18,"HAZEL PARK CONDOMINIUM",1350,1169,Resale,"Executive Condominium",Completed,23,"West Region","Bukit Panjang"
"1-10 floor",201901,2019-01-02,Non-Freehold,2,"WHISTLER GRAND",750,1361,"New Sale","Non-landed Properties",Uncompleted,5,"West Region",Clementi
"11-20 floor",201901,2019-01-02,Non-Freehold,11,"THE TRE VER",500,1649,"New Sale","Executive Condominium",Uncompleted,13,"Central Region","Toa Payoh"
"1-10 floor",201901,2019-01-02,Non-Freehold,2,PRIVE,800,952,Resale,"Executive Condominium",Completed,19,"North East Region",Punggol
"21 - 30 floor",201901,2019-01-02,Non-Freehold,22,"H2O RESIDENCES",750,1174,Resale,"Executive Condominium",Completed,28,"North East Region",Sengkang
"1-10 floor",201901,2019-01-02,Non-Freehold,9,"THE FLORAVALE",1300,642,Resale,"Executive Condominium",Completed,22,"West Region","Jurong West"
"1-10 floor",201901,2019-01-02,Non-Freehold,1,TERRASSE,800,1164,Resale,"Executive Condominium",Completed,19,"North East Region",Hougang
"1-10 floor",201901,2019-01-02,Non-Freehold,2,"MAYFAIR GARDENS",1050,1900,"New Sale","Executive Condominium",Uncompleted,21,"Central Region","Bukit Timah"
